match_id,date,team1,team2,venue,city,toss_winner,toss_decision,winner,match_type,outcome_result
1462909,2024-12-16,Bahamas,Mexico,"St George's College Ground, Buenos Aires",Buenos Aires,Bahamas,bat,Bahamas,T20,completed
1462910,2024-12-16,Belize,Suriname,"St Albans Club, Buenos Aires",Buenos Aires,Belize,bat,Suriname,T20,completed
1462911,2024-12-16,Argentina,Brazil,"St George's College Ground, Buenos Aires",Buenos Aires,Brazil,field,Argentina,T20,completed
1462912,2024-12-04,Uganda,Botswana,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Botswana,field,Uganda,T20,completed
1462913,2024-12-13,Nigeria,Rwanda,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Nigeria,bat,Nigeria,T20,completed
1462914,2024-12-08,Rwanda,Botswana,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Rwanda,bat,Botswana,T20,completed
1462915,2024-12-06,Nigeria,Uganda,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Nigeria,bat,Uganda,T20,completed
1462916,2024-12-04,Rwanda,Nigeria,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Rwanda,bat,Nigeria,T20,completed
1462917,2024-12-11,Uganda,Nigeria,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Nigeria,field,Uganda,T20,completed
1462918,2024-12-11,Rwanda,Botswana,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Botswana,field,Rwanda,T20,completed
1462919,2024-12-05,Nigeria,Botswana,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Botswana,field,Nigeria,T20,completed
1462920,2024-12-12,Botswana,Nigeria,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Botswana,bat,Nigeria,T20,completed
1462921,2024-12-05,Uganda,Rwanda,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Rwanda,field,Uganda,T20,completed
1462922,2024-12-09,Nigeria,Rwanda,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Nigeria,bat,Rwanda,T20,completed
1462923,2024-12-12,Uganda,Rwanda,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Rwanda,field,Uganda,T20,completed
1462924,2024-12-06,Botswana,Rwanda,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Rwanda,field,Rwanda,T20,completed
1462925,2024-12-08,Nigeria,Uganda,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Uganda,field,Uganda,T20,completed
1462926,2024-12-02,Bermuda,Argentina,"Hurlingham Club Ground, Buenos Aires",Buenos Aires,Argentina,field,Bermuda,T20,completed
1462927,2024-12-07,Nigeria,Botswana,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Nigeria,bat,Botswana,T20,completed
1462928,2024-12-09,Uganda,Botswana,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Botswana,field,Uganda,T20,completed
